   surface; valeur;  transaction
   153.1  ;  573  ;  748
   152.0  ;  638  ;  740
   162.5  ;  654  ;  729
   143.3  ;  570  ;  700
   145.7  ;  638  ;  749
   173.3  ;  632  ;  760
   144.8  ;  602  ;  720
   149.1  ;  577  ;  735
   152.5  ;  564  ;  745
   138.9  ;  556  ;  735
   151.8  ;  626  ;  715
   144.4  ;  634  ;  710
   148.7  ;  602  ;  789
   186.3  ;  672  ;  865
   152.0  ;  571  ;  680
   257.6  ;  896  ; 1020
   190.5  ;  686  ;  840
   153.7  ;  601  ;  690
   180.6  ;  663  ;  880
   163.5  ;  658  ;  760
