"ht" "circ" "bloc" "clone"
"1" 18.25 36 "1" "L2-123"
"2" 19.75 42 "1" "L2-123"
"3" 16.5 33 "1" "L2-123"
"4" 18.25 39 "1" "L2-123"
"5" 19.5 43 "1" "L2-123"
"6" 16.25 34 "1" "L2-123"
"7" 17.25 37 "1" "L2-123"
"8" 19 41 "1" "L2-123"
"10" 16.25 27 "1" "1-105"
"11" 17.5 30 "1" "1-105"
"12" 15.5 26 "1" "1-105"
"13" 19.75 35 "1" "1-105"
"14" 22 39 "1" "1-105"
"15" 18.25 31 "1" "1-105"
"16" 18.25 27 "1" "1-105"
"17" 20.5 35 "1" "1-105"
"18" 16 27 "1" "1-105"
"19" 18 35 "1" "1-41"
"20" 20.25 40 "1" "1-41"
"21" 19.75 41 "1" "1-41"
"22" 19 38 "1" "1-41"
"23" 19.75 38 "1" "1-41"
"24" 17.5 39 "1" "1-41"
"25" 21 42 "1" "1-41"
"26" 21.75 46 "1" "1-41"
"28" 23 56 "1" "18-181"
"30" 22.25 53 "1" "18-181"
"31" 23 54 "1" "18-181"
"32" 23 53 "1" "18-181"
"33" 19 38 "1" "18-181"
"34" 23.25 53 "1" "18-181"
"35" 24 59 "1" "18-181"
"36" 22 50 "1" "18-181"
"37" 19 38 "1" "18-182"
"38" 19.75 44 "1" "18-182"
"39" 22.25 43 "1" "18-182"
"40" 21.75 47 "1" "18-182"
"41" 23.25 54 "1" "18-182"
"42" 24.25 56 "1" "18-182"
"43" 23.25 56 "1" "18-182"
"44" 24.25 57 "1" "18-182"
"45" 24.5 58 "1" "18-182"
"47" 23 52 "1" "18-185"
"48" 22.5 52 "1" "18-185"
"49" 21.25 47 "1" "18-185"
"50" 19.75 44 "1" "18-185"
"51" 22.5 49 "1" "18-185"
"52" 18.75 37 "1" "18-185"
"53" 12.5 32 "1" "18-185"
"54" 18 35 "1" "18-185"
"55" 23.5 56 "1" "18-186"
"56" 24 58 "1" "18-186"
"58" 23.75 52 "1" "18-186"
"61" 23.75 54 "1" "18-186"
"63" 23.25 58 "1" "18-186"
"64" 21.25 43 "1" "18-189"
"65" 23.25 51 "1" "18-189"
"66" 20.5 40 "1" "18-189"
"67" 23.25 52 "1" "18-189"
"68" 22.25 46 "1" "18-189"
"69" 23.75 54 "1" "18-189"
"71" 24.75 56 "1" "18-189"
"72" 24.25 55 "1" "18-189"
"82" 21.25 46 "1" "18-193"
"83" 20.75 47 "1" "18-193"
"84" 19.75 43 "1" "18-193"
"85" 22.25 52 "1" "18-193"
"86" 20.25 40 "1" "18-193"
"87" 18.75 36 "1" "18-193"
"88" 21.25 47 "1" "18-193"
"89" 22 51 "1" "18-193"
"90" 19.75 39 "1" "18-193"
"91" 16.25 34 "1" "18-194"
"92" 21 48 "1" "18-194"
"93" 18.75 41 "1" "18-194"
"94" 21.75 48 "1" "18-194"
"95" 19.25 37 "1" "18-194"
"96" 19.75 43 "1" "18-194"
"97" 21.25 45 "1" "18-194"
"98" 22 50 "1" "18-194"
"99" 21.75 52 "1" "18-194"
"100" 20.25 45 "1" "18-195"
"101" 23.25 53 "1" "18-195"
"103" 18.25 35 "1" "18-195"
"104" 22.75 46 "1" "18-195"
"105" 20.75 41 "1" "18-195"
"106" 18.5 35 "1" "18-195"
"107" 21.75 43 "1" "18-195"
"108" 19.75 36 "1" "18-195"
"109" 23.75 56 "1" "18-196"
"110" 23.25 52 "1" "18-196"
"111" 22.5 49 "1" "18-196"
"113" 22.25 46 "1" "18-196"
"114" 22.25 47 "1" "18-196"
"115" 23.5 57 "1" "18-196"
"116" 24.25 61 "1" "18-196"
"117" 21.25 46 "1" "18-196"
"118" 22.5 54 "1" "18-197"
"120" 23 57 "1" "18-197"
"121" 21.75 49 "1" "18-197"
"123" 21.25 44 "1" "18-197"
"127" 22 44 "1" "18-198"
"128" 15.75 31 "1" "18-198"
"129" 21.5 42 "1" "18-198"
"130" 21.75 41 "1" "18-198"
"131" 21.25 41 "1" "18-198"
"132" 23 49 "1" "18-198"
"133" 20.75 38 "1" "18-198"
"134" 21 39 "1" "18-198"
"135" 22.25 43 "1" "18-198"
"136" 22.25 54 "1" "18-199"
"137" 22.75 53 "1" "18-199"
"138" 23.25 56 "1" "18-199"
"139" 21.25 46 "1" "18-199"
"140" 21.75 44 "1" "18-199"
"141" 22.75 55 "1" "18-199"
"142" 22.25 50 "1" "18-199"
"143" 19 36 "1" "18-199"
"144" 19.25 35 "1" "18-199"
"145" 23.75 56 "1" "18-200"
"146" 22.5 46 "1" "18-200"
"147" 23.25 52 "1" "18-200"
"148" 22.75 48 "1" "18-200"
"149" 23.25 51 "1" "18-200"
"150" 23.25 47 "1" "18-200"
"151" 22.75 50 "1" "18-200"
"152" 15.25 28 "1" "18-200"
"153" 23 49 "1" "18-200"
"154" 22.75 49 "1" "18-201"
"155" 22.75 46 "1" "18-201"
"156" 23.25 47 "1" "18-201"
"157" 23 47 "1" "18-201"
"158" 23.25 50 "1" "18-201"
"159" 23.75 48 "1" "18-201"
"161" 23 50 "1" "18-201"
"162" 24.75 58 "1" "18-201"
"164" 25.25 60 "1" "18-202"
"167" 23.75 55 "1" "18-202"
"168" 16.75 32 "1" "18-202"
"169" 22.75 52 "1" "18-202"
"170" 24.25 54 "1" "18-202"
"171" 15.25 29 "1" "18-202"
"172" 23.25 55 "1" "18-203"
"173" 23.25 59 "1" "18-203"
"174" 24.5 60 "1" "18-203"
"175" 23.25 49 "1" "18-203"
"176" 20.75 39 "1" "18-203"
"177" 25.25 65 "1" "18-203"
"178" 22.25 49 "1" "18-203"
"182" 23.75 62 "1" "18-205"
"183" 23.75 54 "1" "18-205"
"184" 24.25 63 "1" "18-205"
"185" 23.75 54 "1" "18-205"
"186" 23.75 54 "1" "18-205"
"187" 22.25 58 "1" "18-205"
"188" 24.75 60 "1" "18-205"
"189" 25.25 59 "1" "18-205"
"190" 24.25 62 "1" "18-207"
"191" 24.75 57 "1" "18-207"
"192" 24.75 59 "1" "18-207"
"193" 22.25 57 "1" "18-207"
"194" 22.25 47 "1" "18-207"
"195" 25 62 "1" "18-207"
"196" 22.5 59 "1" "18-207"
"197" 24 58 "1" "18-207"
"198" 25.25 65 "1" "18-207"
"199" 24.25 62 "1" "18-208"
"200" 24.75 58 "1" "18-208"
"201" 25.75 65 "1" "18-208"
"202" 23.75 58 "1" "18-208"
"203" 22.5 45 "1" "18-208"
"204" 23.5 54 "1" "18-208"
"205" 20.75 47 "1" "18-208"
"206" 23.75 54 "1" "18-208"
"207" 23.25 54 "1" "18-208"
"208" 22 47 "1" "18-209"
"210" 23.25 60 "1" "18-209"
"211" 25.75 64 "1" "18-209"
"214" 25 64 "1" "18-209"
"216" 26 66 "1" "18-209"
"217" 26 60 "1" "18-210"
"218" 23 43 "1" "18-210"
"219" 20.25 36 "1" "18-210"
"220" 23.75 49 "1" "18-210"
"221" 23 42 "1" "18-210"
"222" 24.25 55 "1" "18-210"
"223" 24.75 54 "1" "18-210"
"224" 24.75 52 "1" "18-210"
"225" 24.25 48 "1" "18-210"
"226" 22.5 54 "1" "18-211"
"227" 23.25 59 "1" "18-211"
"228" 21.75 55 "1" "18-211"
"229" 22.25 55 "1" "18-211"
"230" 21.25 48 "1" "18-211"
"231" 23.25 59 "1" "18-211"
"232" 21.75 53 "1" "18-211"
"233" 23.5 59 "1" "18-211"
"234" 22.5 56 "1" "18-211"
"235" 22.25 51 "1" "18-212"
"236" 22.75 49 "1" "18-212"
"237" 22.25 51 "1" "18-212"
"238" 22.25 46 "1" "18-212"
"239" 22.75 45 "1" "18-212"
"240" 21.25 41 "1" "18-212"
"241" 22.75 51 "1" "18-212"
"242" 22.25 46 "1" "18-212"
"243" 22.75 48 "1" "18-212"
"244" 18.75 38 "1" "18-213"
"245" 23.25 55 "1" "18-213"
"246" 23.5 56 "1" "18-213"
"247" 22.25 52 "1" "18-213"
"248" 22.75 49 "1" "18-213"
"249" 23.75 55 "1" "18-213"
"250" 21.75 49 "1" "18-213"
"251" 23 52 "1" "18-213"
"252" 23.25 53 "1" "18-213"
"262" 22.25 55 "1" "18-216"
"263" 21.75 52 "1" "18-216"
"264" 21.75 53 "1" "18-216"
"265" 22.25 52 "1" "18-216"
"266" 21.5 46 "1" "18-216"
"267" 22 55 "1" "18-216"
"269" 22.25 54 "1" "18-216"
"270" 22.25 50 "1" "18-216"
"271" 23 50 "1" "18-219"
"272" 24.75 62 "1" "18-219"
"273" 23 51 "1" "18-219"
"274" 23.5 51 "1" "18-219"
"275" 23.75 53 "1" "18-219"
"276" 25.25 57 "1" "18-219"
"277" 24 55 "1" "18-219"
"278" 24.25 54 "1" "18-219"
"279" 24.75 58 "1" "18-219"
"280" 23 58 "1" "18-220"
"281" 23.75 57 "1" "18-220"
"282" 22 53 "1" "18-220"
"283" 22 53 "1" "18-220"
"284" 22.25 48 "1" "18-220"
"285" 22.25 47 "1" "18-220"
"286" 23.25 56 "1" "18-220"
"287" 23.25 56 "1" "18-220"
"288" 19.25 37 "1" "18-220"
"298" 23.25 46 "1" "18-225"
"299" 23.25 49 "1" "18-225"
"300" 23.25 53 "1" "18-225"
"302" 23.75 49 "1" "18-225"
"303" 21.75 41 "1" "18-225"
"304" 20.75 35 "1" "18-225"
"305" 23.25 50 "1" "18-225"
"306" 23 46 "1" "18-225"
"307" 19.5 42 "1" "18-226"
"311" 23 59 "1" "18-226"
"312" 19 32 "1" "18-226"
"313" 22 59 "1" "18-226"
"314" 21.75 50 "1" "18-226"
"316" 22.25 56 "1" "18-227"
"317" 23.25 59 "1" "18-227"
"318" 22.75 50 "1" "18-227"
"319" 23.25 56 "1" "18-227"
"320" 21.5 48 "1" "18-227"
"321" 22.5 51 "1" "18-227"
"322" 23.25 60 "1" "18-227"
"323" 22.25 55 "1" "18-227"
"324" 21.25 43 "1" "18-227"
"326" 25.5 55 "1" "18-228"
"329" 24.25 55 "1" "18-228"
"331" 24.75 59 "1" "18-228"
"332" 23.75 51 "1" "18-228"
"333" 23.25 49 "1" "18-228"
"335" 23.25 57 "1" "18-230"
"339" 18.25 39 "1" "18-230"
"340" 23.25 55 "1" "18-230"
"341" 23.25 53 "1" "18-230"
"342" 17.75 35 "1" "18-230"
"346" 17.75 41 "1" "18-231"
"347" 20.25 50 "1" "18-231"
"348" 20.75 53 "1" "18-231"
"349" 18.5 46 "1" "18-231"
"350" 20 52 "1" "18-231"
"351" 20.25 46 "1" "18-231"
"352" 23.25 49 "1" "18-232"
