"maxO3";"T12";"T15";"Ne12";"N12";"S12";"E12";"W12";"VENT12";"Vx";"maxO3v"
"19960422";63.6;13.4;15;7;0;0;3;0;"E";9.35;95.6
"19960429";89.6;15;15.7;4;3;0;0;0;"N";5.4;100.2
"19960506";79;7.9;10.1;8;0;0;7;0;"E";19.3;105.6
"19960514";81.2;13.1;11.7;7;7;0;0;0;"N";12.6;95.2
"19960521";88;14.1;16;6;0;0;0;6;"W";-20.3;82.8
"19960528";68.4;16.7;18.1;7;0;3;0;0;"S";-3.69;71.4
"19960605";139;26.8;28.2;1;0;0;3;0;"E";8.27;90
"19960612";78.2;18.4;20.7;7;4;0;0;0;"N";4.93;60
"19960619";113.8;27.2;27.7;6;0;4;0;0;"S";-4.93;125.8
"19960627";41.8;20.6;19.7;8;0;0;0;1;"W";-3.38;62.6
"19960704";65;21;21.1;6;0;0;0;7;"W";-23.68;38
"19960711";73;17.4;22.8;8;0;0;0;2;"W";-6.24;70.8
"19960719";126.2;26.9;29.5;2;0;0;4;0;"E";14.18;119.8
"19960726";127.8;25.5;27.8;3;0;0;5;0;"E";13.79;103.6
"19960802";61.6;19.4;21.5;7;6;0;0;0;"N";-7.39;69.2
"19960810";63.6;20.8;21.4;7;0;0;0;5;"W";-13.79;48
"19960817";134.2;29.5;30.6;2;0;3;0;0;"S";1.88;118.6
"19960824";67.2;21.7;20.3;7;0;0;0;7;"W";-24.82;60
"19960901";87.8;19.7;21.7;5;0;0;3;0;"E";9.35;74.4
"19960908";96.8;19;21;6;0;0;8;0;"E";28.36;103.8
"19960915";89.6;20.7;22.9;1;0;0;4;0;"E";12.47;78.8
"19960923";66.4;18;18.5;7;0;0;0;2;"W";-5.52;72.2
"19960930";60;17.4;16.4;8;0;6;0;0;"S";-10.8;53.4
"19970414";90.8;16.3;18.1;0;0;0;5;0;"E";18;89
"19970422";104.2;13.6;14.4;1;0;0;1;0;"E";3.55;97.8
"19970429";70;15.8;16.7;7;7;0;0;0;"N";-12.6;61.4
"19970708";96.2;26;27.3;2;0;0;5;0;"E";16.91;87.4
"19970715";65.6;23.5;23.7;7;0;0;0;3;"W";-9.35;67.8
"19970722";109.2;26.3;27.3;4;0;0;5;0;"E";16.91;98.6
"19970730";86.2;21.8;23.6;6;4;0;0;0;"N";2.5;112
"19970806";87.4;24.8;26.6;3;0;0;0;2;"W";-7.09;49.8
"19970813";84;25.2;27.5;3;0;0;0;3;"W";-10.15;131.8
"19970821";83;24.6;27.9;3;0;0;0;2;"W";-5.52;113.8
"19970828";59.6;16.8;19;7;0;0;0;8;"W";-27.06;55.8
"19970904";52;17.1;18.3;8;5;0;0;0;"N";-3.13;65.8
"19970912";73.8;18;18.3;7;0;5;0;0;"S";-11.57;90.4
"19970919";129;28.9;30;1;0;0;3;0;"E";8.27;111.4
"19970926";122.4;23.4;25.4;0;0;0;2;0;"E";5.52;118.6
"19980504";106.6;13;14.3;3;7;0;0;0;"N";12.6;84
"19980511";121.8;26;28;2;0;4;0;0;"S";2.5;109.8
"19980518";116.2;24.9;25.8;2;0;0;5;0;"E";18;142.8
"19980526";81.4;18.4;16.8;7;0;0;0;4;"W";-14.4;80.8
"19980602";88.6;18.7;19.6;5;0;0;0;5;"W";-15.59;60.4
"19980609";63;20.4;16.6;7;0;0;0;8;"W";-22.06;79.8
"19980617";104;19.6;21.2;6;0;0;0;3;"W";-10.8;84.6
"19980624";88.4;23.2;23.9;4;0;4;0;0;"S";-7.2;92.6
"19980701";83.8;19.8;20.3;8;0;0;5;0;"E";17.73;40.2
"19980709";56.4;18.9;19.3;8;0;0;0;4;"W";-14.4;73.6
"19980716";50.4;19.7;19.3;7;0;0;0;5;"W";-17.73;59
"19980724";79.2;21.1;21.9;3;4;0;0;0;"N";9.26;55.2
