O3;T6;T12;Ne12;Ne15;Vx;O3v
47.6;10.1;13.3;8;8;-3.4641;62.2
56.2;9.5;13.8;7;0;0;47.6
61.8;3.6;16.8;2;2;-0.342;56.2
50.8;9.5;11.4;7;7;-0.5209;61.8
59.8;9.8;13.8;8;8;-0.9848;50.8
53.4;8.9;12.6;8;8;-1.8794;59.8
49.4;11.2;13.3;8;7;-0.1736;53.4
82.8;10;15.6;1;3;6;49.4
76.8;3.7;12.3;3;5;4;82.8
92.6;3.1;14.1;4;4;1.7321;76.8
90.6;4.3;17;4;3;4.924;92.6
104.6;4.8;18;1;0;4.3301;90.6
71;5.9;13.3;1;1;6.0622;104.6
66.6;6.5;14.1;1;2;2.0521;71
93.8;7;13.6;7;7;-2.5;66.6
87.2;7.1;11.3;6;5;-0.8682;93.8
71.6;9.2;12;8;8;-3.9392;87.2
72.4;10.7;12.3;8;8;-6.5778;71.6
63.4;2.6;7.8;7;7;-5.3623;72.4
62.2;-0.3;10.2;6;8;-2;63.4
76.8;5.4;13;7;6;6.8937;62.2
69.4;6.1;7.7;8;8;1.0419;76.8
79.4;2.4;11.7;7;8;0.9848;69.4
71.6;6.9;10.8;8;8;-1.3892;79.4
77;8.3;10;8;8;-4.5963;71.6
57.8;10.1;11.5;8;8;0.3473;77
60.8;9.2;10.7;8;8;2.9544;57.8
56.2;9.6;12.3;8;8;3;60.8
75.6;10.2;13;8;7;-2.5981;56.2
80.2;10.6;13.9;7;6;-1.2856;75.6
101.4;9.3;18.5;6;5;4.924;80.2
113;8.1;22.6;5;6;4;101.4
115.6;9.4;24.6;1;0;3.4641;113
117.8;10.2;26.6;1;1;1.0261;115.6
127.8;12.6;28.1;1;1;3.0642;117.8
144.6;14.5;27.9;3;1;3.4641;127.8
157;13.3;26.7;1;1;1.5;144.6
90.8;12.1;18.3;3;1;-1.0419;157
74.4;9.5;15.8;2;4;-1.3681;90.8
85.8;10;17.2;6;2;1.2856;74.4
58.2;10.4;13.1;8;8;5;85.8
64.4;8;9.3;8;8;1.3892;58.2
74;5;11.6;5;3;1.3892;64.4
85.6;2.4;14.1;3;4;-1;74
77.2;6.2;14.8;7;7;4.924;85.6
42.8;9.1;12.1;8;7;3.2139;77.2
75;12.4;15.3;6;6;-9;42.8
80;8;13.4;6;2;-1.0419;75
70.4;5.3;13.9;4;7;-0.3473;80
69;6.2;13.4;7;7;-4.4995;70.4
83.4;5.4;16.8;3;7;3.7588;69
94.2;9.6;20;6;6;4.6985;83.4
91.8;12.3;23;3;2;2;94.2
62;14.2;16;8;7;-4;91.8
59.8;10.9;19.7;5;4;-4.5963;62
62.4;10.9;18.6;7;7;-2.5;59.8
60.2;13.9;21.6;5;4;-3.5;62.4
64.2;15.7;21.4;7;6;-3.8567;60.2
68.8;12.1;17.1;6;5;-3.0642;64.2
64.6;10.4;14.4;6;7;-1.9284;68.8
76.8;10.7;16.3;7;5;-1.7101;64.6
66;9;16.7;7;8;-2.9544;76.8
62.6;11.9;17.7;6;8;-1.9284;66
46.2;11.7;14.9;8;7;-3.0642;62.6
69.4;11.6;17.6;6;6;-5.1962;46.2
72.2;8.6;16.3;6;6;-0.6946;69.4
78.2;8.7;19.5;4;4;-0.766;72.2
45.2;11;17.6;7;7;-1.0261;78.2
77.2;11.5;16.7;3;2;-1.3892;45.2
74;8.6;16.5;7;6;2;77.2
63.8;7.8;16.1;8;8;-1.9284;74
45.8;11.8;16;7;7;-2;63.8
64.6;11.9;15.2;6;6;2.5;45.8
60;10.8;14.8;7;6;0.8682;64.6
81;7.7;16.7;7;7;0.8682;60
65.6;9.9;18.5;4;2;1.0419;81
54.6;10.4;21.4;1;1;-1.5321;65.6
49.6;12.9;17;8;8;-4.5963;54.6
33.2;15.8;17.1;8;7;0.3473;49.6
66.6;14.4;21.6;3;6;-1.5;33.2
60.8;15.1;22.3;8;7;-1;66.6
56.4;15.3;23;1;1;2;60.8
78;14.6;21.6;1;1;6.0622;56.4
77.4;13.2;17.9;5;3;6.1284;78
70.8;12.7;20;1;2;3;77.4
93.6;12.6;22.5;4;2;4.924;70.8
102.2;17.9;28.8;1;2;6.8937;93.6
114;19;29.1;1;2;6.5778;102.2
121.6;17.1;30.5;2;3;5.6382;114
136.8;21.5;32.2;1;1;5.9088;121.6
137.4;19.1;32;1;1;1.5;136.8
136.6;18.3;30.3;6;8;-1.9696;137.4
86;17.2;22.7;6;6;-2.8191;136.6
84.4;15.1;19.2;7;7;-1.3681;86
77.6;12.8;20.7;7;6;-1.0261;84.4
51;12.3;19.2;8;8;-0.684;77.6
50.8;14.8;20.4;7;6;-1.5;51
75.8;13.7;24.3;5;3;0.5209;50.8
134;15.9;28.4;6;1;4.3301;75.8
129.6;18.3;32.7;3;3;1.5;134
98.8;21.2;25.2;7;5;-1.9284;129.6
66.8;17.7;21.3;7;4;-2.9544;98.8
71.4;18.1;24.6;7;7;0.5209;66.8
69.8;16.9;22.3;7;7;-0.342;71.4
59.6;16.9;23.2;6;8;-6.0622;69.8
79.2;17;22.6;5;5;-4.924;59.6
63.6;15.4;22.4;6;7;-4.6985;79.2
53.6;17.2;22.3;7;7;-3.5;63.6
69.6;15;24.9;6;5;-3.9392;53.6
104.2;18;27.2;3;3;0;69.6
123.4;19.2;33.1;1;3;1.8794;104.2
80.6;18.8;24.3;0;0;-1.7101;123.4
70.6;16.3;21.4;1;1;2.7362;80.6
105.6;11.3;23.4;0;0;1.9696;70.6
117.2;13.9;28.1;0;0;3.9392;105.6
128;18.4;31;3;5;6.8937;117.2
96.4;19.3;24.6;6;7;-5.1423;128
48;17.1;21.3;7;6;-5.1962;96.4
56.8;19.6;22.4;8;3;-1.7321;48
98.2;17;28;1;0;2.5981;56.8
114.6;15.9;30.7;3;3;1.7321;98.2
138.8;19.2;29.6;4;5;1.0261;114.6
140.8;17.9;32;1;3;0.3473;138.8
134.6;20.5;29.9;6;6;0.766;140.8
114.8;17.4;26.3;3;8;-1.7321;173
104.4;17.3;22.7;6;7;-1.2856;114.8
76.6;17.4;20.1;8;8;3;104.4
75;14.5;20.1;7;7;5.1962;76.6
115.8;16.5;24.2;2;7;3.8302;75
144;16.8;27.2;4;6;5.1962;115.8
144.4;17;30.6;1;2;-0.9848;144
108.2;17.2;20.5;7;1;-1.7321;144.4
72.4;18.1;23;3;1;0;108.2
88.6;14.6;22.3;4;7;0;72.4
112;12.2;24.4;2;2;1.7101;88.6
131.2;13.1;27.1;1;6;3.8302;112
131.6;14.7;28.6;1;3;4.3301;131.2
125.6;14.7;28;2;2;5.6382;131.6
155.8;15;29.6;2;2;1.5321;125.6
161.4;17.8;28.4;0;3;1.0261;155.8
125.4;16.3;28.2;1;3;4.3301;161.4
111.4;14.3;27.2;1;1;2.5;125.4
91.4;17.7;23;8;7;-3;111.4
68;14;23.2;5;4;-1.2155;91.4
73;19.1;23.8;7;4;-3.9392;68
86;14.9;22.8;2;1;-3.8567;73
73.8;17.4;23.2;7;7;-2.0521;86
65.4;13.2;20;4;4;-1.2155;73.8
65.4;9.6;21.3;5;7;-2.0521;65.4
81.2;16.7;19.1;6;2;3.2139;65.4
60.6;10.2;20.5;7;7;1.0419;81.2
58.8;15.9;19.4;7;5;-0.6946;60.6
68;13.1;21.4;7;7;-2;58.8
69.8;11.1;19.7;5;6;-6.8937;68
62.2;12;20.7;7;7;-4;69.8
66.2;12;19;4;5;-2.8191;62.2
64.8;13;17.5;8;8;0;66.2
67;17.5;18.9;7;8;-6;64.8
79.8;15.7;20.6;7;7;-6.8937;67
65.6;12.8;20.6;6;7;-1.0419;79.8
59;15.2;19;7;8;1.9284;65.6
78;11.5;19.8;5;7;-3.4641;59
56.2;11.3;18.4;4;4;-3.7588;78
70.6;10.2;17.8;6;5;-1.8794;56.2
45.6;13.8;13.6;8;7;-3.8567;70.6
48.2;13.6;17;7;7;-4.924;45.6
75.2;12.5;17.1;6;5;-3.2139;48.2
83.6;9.8;19.4;4;7;2.8191;75.2
75.2;14.3;19.8;6;7;3.7588;83.6
91.8;10.9;19.2;7;7;3.5;75.2
71.2;13.7;17.4;5;3;0;91.8
72.6;10.4;18.3;3;3;0;71.2
70.8;7.6;17;7;6;1.7321;72.6
53.2;10.8;18;7;7;-0.5;70.8
66.8;12.4;14.7;7;6;-3.4641;53.2
58;8.6;16.1;3;6;-2;66.8
49.2;11.4;16.2;7;7;-3.8567;58
60.4;16.5;15.9;8;5;-4.4995;49.2
49.6;6.7;15.8;7;6;-5.1962;60.4
45;7.6;15.3;7;7;-1.5;49.6
52.8;10.9;14.3;8;8;0;45
75.2;3.7;8.8;6;5;6.5778;86.8
75.4;0.2;6.3;5;3;3.5;75.2
81.6;-0.2;7.1;5;3;3.2139;75.4
95.8;-1.6;10.5;0;0;4.924;81.6
64;0.3;9.3;7;7;5;95.8
53;4.3;8.6;8;8;-1.5321;64
70.2;7.1;10.3;8;8;-1;53
83.4;7.3;12.4;8;8;-1.7321;70.2
87;4.9;15.2;6;3;0.5209;83.4
79.6;8.6;13.5;7;6;-1.5;87
81;8.2;14.3;7;6;-0.866;79.6
79.8;9.2;17.9;5;7;-0.3473;81
50;10.3;12.8;7;7;-1.8794;79.8
86.8;6.2;12.1;8;8;-0.9848;50
70;11.3;16.5;7;7;0.6946;86.8
105.8;7.4;18.6;6;8;2.5;70
81.4;7.9;15;6;6;-5.9088;105.8
68.2;8.1;15.2;6;7;-3.5;81.4
87;9.1;17.7;7;7;-0.5209;68.2
93.6;13.5;18.1;7;6;-2.0521;87
95.6;11.9;20.8;7;4;-3.4202;93.6
63.6;10.5;13.4;7;7;2.5981;95.6
68.6;9.6;12.7;7;7;-5.9088;63.6
81.6;6.7;14.3;6;7;-3.0642;68.6
84.4;4.5;12.8;7;2;-1.0261;81.6
85.6;3.7;15.5;3;3;2.5712;84.4
112.4;7;20.3;5;4;4.6985;85.6
100.2;9.1;18.7;5;5;-1.2155;112.4
89.6;6.8;15;4;5;1.5;100.2
74.6;5.6;15.1;5;6;-2.8191;89.6
81.8;8.3;10.3;7;7;1.0419;74.6
79;7.9;13;6;7;1.2155;81.8
65.8;8.1;9.3;7;8;1.0419;79
85;7.2;12.3;5;7;3.9392;65.8
105.6;4.2;14.6;3;3;4.924;85
79;8.9;7.9;8;8;5.3623;105.6
71.4;8;13.6;7;7;3.8567;79
74.8;9.8;10.4;8;8;5.1423;71.4
84.8;6.4;12.7;2;3;4.5;74.8
77;4.8;11.6;6;7;2.5;84.8
